Date,Time,Number,Message
9/22/2024,16:36:24,+918425937857,😂😂 bro engineering se out honeke baad koi faida nahi hai
7/20/2024,03:10:45,+918425937876,Bhai aaj ayesha aayi thi class mai masti ka mood tha but kn kiya
10/26/2024,12:21:54,+918425937844,I believe in peace ✌️
5/28/2024,09:57:11,+918425937873,Kon ayesha
6/30/2024,00:42:54,+918425937875,💀 Maine bulaya toh mana kardi
4/3/2024,20:31:41,+918425937854,Mera khauf
9/3/2024,08:37:47,+918425937866,💀😂😂😂
12/10/2024,06:58:11,+918425937898,Fy darta hai tere naam se
9/23/2024,11:49:04,+918425937820,Mere class mao gossip mai hai tu
10/26/2024,23:00:44,+918425937824,@917977474354
4/20/2024,14:23:01,+918425937898,Sahi hai bhai 😂😂mai college mai kisko nahi janta mera naam sabko pata hai
9/8/2024,13:38:04,+918425937832,Kahi bombing na karaa de
4/17/2024,00:53:03,+918425937825,9/11 returns
6/7/2024,23:11:27,+918425937897,Intro to krta khudka why r u boring
1/15/2024,23:12:52,+918425937842,Mereko karne ki jarurat nahi padegi ull know 😂😂
3/3/2024,08:02:44,+918425937864,kal aaram se ek ghanta free hokr aaugi teri class me. Bhot baate krni h tumlog se
6/14/2024,04:54:47,+918425937888,😂😂 sure
12/2/2024,05:09:44,+918425937841,Sarcastic hai ki kuch kaand hone waala hai ? 👀👀
12/28/2024,14:25:29,+918425937883,Since am not from postman i don’t approach ppl
9/3/2024,11:06:47,+918425937810,https
7/18/2024,19:59:28,+918425937844,Bhai savage tha 😂😂
8/11/2024,22:35:30,+918425937828,hire karle kisi ko
2/10/2024,08:28:42,+918425937823,Rent a girlfriend season 69 😂😂😂
7/19/2024,15:44:59,+918425937848,HOD* HEAD OF DEPARTMENT
6/12/2024,23:46:30,+918425937895,Chalo guys padh leta hu atleast meko TY mai aane k baad @917977474354 jessa roast hona hai post k liye
11/16/2024,15:22:44,+918425937817,Nahi*
12/14/2024,21:27:22,+918425937889,Vai unko pata hai vo nahi padha payege 😂
10/15/2024,19:53:44,+918425937882,Bhai waise phyiscs wagera ka assignments ka pdf hai toh bhejdo plss
8/14/2024,08:08:04,+918425937828,I didn't attended
4/24/2024,19:50:28,+918425937865,Bunk tha lol 😂😂😂
10/25/2024,04:07:19,+918425937837,Please Explain IEE and CSI in more detail
1/22/2024,23:42:11,+918425937820,Kitne bunk Kiya Bhai 💀
4/4/2024,03:22:36,+918425937870,attend*
5/11/2024,18:38:44,+918425937898,I am genuinely sorry to all the girls and boys agar kisi ko bhi bura laga hai toh maine intentionally nai kiya but still if anyone is disgust by my behaviour am sorry to that person personally
4/26/2024,00:46:06,+918425937871,Including seniors too
12/14/2024,14:27:48,+918425937811,Cllg aur pura world jaanta hai tera naam common ho gaya hai tu bro 🌚🌚💀💀
8/10/2024,19:53:42,+918425937831,Yaha par kuch hua tha kya??
10/13/2024,05:50:33,+918425937835,Nahi bhai I think so girls don't like this behavior we will all talk on boys group
4/23/2024,04:18:29,+918425937817,Please grudges mat rakhna
11/12/2024,15:50:24,+918425937826,Agar hai toh sidha aa k bol dena
3/3/2024,09:16:34,+918425937864,Yeah we were joking so that u guys also laugh at our jokes wagera but if u disgust us then sorry
5/2/2024,09:13:28,+918425937885,Personally bhi sorry bol dunga
10/19/2024,05:08:05,+918425937822,Same to same from my side too
8/16/2024,04:43:08,+918425937855,kya hua
8/28/2024,18:48:49,+918425937869,invite daal
9/21/2024,08:50:30,+918425937845,Jo ladkiya offend nahi hoti they can join too
9/6/2024,04:04:52,+918425937863,Koi bhed bhav nahi 🗿🤝🏻
2/23/2024,03:28:50,+918425937884,fan meetup
6/28/2024,09:04:18,+918425937868,just know that its all jokes for God's sake
6/9/2024,04:53:19,+918425937830,Venue please
2/22/2024,20:21:27,+918425937818,ye akela marega🫡
6/21/2024,17:44:11,+918425937875,mai popcorn bechunga 1000 ka eak
5/1/2024,11:33:43,+918425937885,🤑
5/18/2024,08:16:21,+918425937881,Jisse jana ho chale jana
5/21/2024,05:39:27,+918425937881,teri kyu itni jalti hai
4/26/2024,13:33:58,+918425937810,Retarded h tu?
8/15/2024,06:46:43,+918425937814,sc se gusaa kyu?
1/3/2024,13:03:43,+918425937873,💀
10/23/2024,11:40:17,+918425937899,When did i say that
4/25/2024,14:02:14,+918425937879,seemed to be
8/20/2024,21:46:13,+918425937827,I'm in
11/23/2024,05:37:03,+918425937866,Wait
4/3/2024,06:03:25,+918425937896,Mat Jana koi bhi
4/4/2024,02:16:32,+918425937810,I guess ye first year k liye nhi hai
4/6/2024,17:06:05,+918425937835,Hmm
10/2/2024,10:34:45,+918425937858,Tu wapas gaandu giri kar rha hai 🤦‍♂️🤦‍♂️🤦‍♂️
7/26/2024,15:28:01,+918425937847,Rehne de nhi bikne wala tera popcorn
7/12/2024,15:36:11,+918425937858,ja kr PVR ho samza
1/1/2024,19:29:13,+918425937896,🌟 Attention New Students of KJ Somaiya Institute of Technology! 🌟
1/20/2024,21:00:07,+918425937862,QR for google form link
10/7/2024,17:32:19,+918425937892,*⭐ KJSIT STUDENTS' COUNCIL PRESENTS⭐*
7/11/2024,10:14:40,+918425937848,Forward to other groups
7/27/2024,10:34:13,+918425937814,Kal college rahegi?
3/10/2024,08:47:40,+918425937894,Agar ye attend kiya toh?
5/5/2024,06:48:32,+918425937869,1 hour ka hai bro
11/26/2024,08:51:15,+918425937824,1 day ka nahi
8/6/2024,00:13:53,+918425937856,Bhai jeans mai bhagu kya ab?
4/18/2024,06:14:31,+918425937848,Walk bola hai
7/13/2024,10:19:00,+918425937875,Walk hai
4/15/2024,17:36:10,+918425937840,💀💀 accha
4/6/2024,14:30:23,+918425937888,Walk
6/9/2024,17:44:53,+918425937899,Terepe hai terko clg jaldi attend karna ho toh
9/23/2024,23:12:57,+918425937865,Gate se clg tk ka safar
5/3/2024,07:48:11,+918425937854,Ohhh 😂😂
11/15/2024,05:36:56,+918425937867,Kal 10 -11 lec honge ki nhi hoga?
2/1/2024,07:03:45,+918425937861,Hoge
4/30/2024,09:01:16,+918425937887,👀.
4/4/2024,19:03:10,+918425937896,Abey bhai 10 din ke ek ssth nahi hoti kya??
7/14/2024,08:47:23,+918425937897,10 din kaya ?
3/6/2024,17:06:55,+918425937895,"School hi accha tha, sirf 180 working days"
12/16/2024,23:10:07,+918425937849,Guys Jinka Chem practical hua hai
2/22/2024,20:36:32,+918425937839,Unko Lab Coat aur instruments laane ko bola hai ?
8/23/2024,03:30:00,+918425937885,Phyics baki subject ka bhi bhejo
8/27/2024,01:12:21,+918425937888,You did great job
10/18/2024,04:22:20,+918425937890,Thanks
3/15/2024,05:12:08,+918425937832,Nahi abhi tak bas journal likhne bola hai
1/28/2024,05:23:40,+918425937859,Bhai aaisa lab coat hota hee nhi hai
9/14/2024,23:39:18,+918425937854,Journal?
10/9/2024,19:49:05,+918425937887,Ha re like first 2 practicals
12/14/2024,04:44:44,+918425937858,Bhai book banwani hai?
3/4/2024,07:39:05,+918425937859,College ke Xerox wale se ruled pages maang 50 ka ek set dete
12/24/2024,21:08:58,+918425937827,Are Xerox wale ke pass milta hai paper
7/7/2024,19:32:18,+918425937828,50 ka set
3/12/2024,22:22:28,+918425937818,Uspe likhna hai
2/20/2024,10:39:48,+918425937859,Mai confuse tha re
8/26/2024,14:52:32,+918425937820,Maine khareeda hu
7/24/2024,04:21:40,+918425937832,I thought alag book banani hai
8/4/2024,22:00:32,+918425937842,Proper journal wali book hai ya Fir register hai
3/22/2024,06:52:28,+918425937894,Bhai call karta hu teeko
2/14/2024,00:09:05,+918425937828,Smjha dena
9/11/2024,04:38:44,+918425937843,Okk
1/17/2024,09:06:51,+918425937827,Arey you have to write on pages which you got from the xerox lab!
12/28/2024,07:17:16,+918425937859,File kaha se lau?
3/17/2024,02:38:25,+918425937880,Badme Lana hai
1/6/2024,19:33:03,+918425937862,File kisne bola lani hai?
9/28/2024,18:34:32,+918425937859,Abhi sirf likh
11/30/2024,23:34:59,+918425937850,Other subject bhi dedo
3/6/2024,10:20:29,+918425937838,null
8/27/2024,06:54:32,+918425937830,Aaj ya kal likhe khatam kardunga
11/25/2024,01:36:21,+918425937864,Ye kya hai?
10/26/2024,02:57:48,+918425937839,Last me sab experiment aur assignment ho jayega tab ye clg wale denge
8/19/2024,04:25:25,+918425937862,Seniors ki journal
8/6/2024,05:48:50,+918425937815,Okayy
4/13/2024,05:20:03,+918425937814,File kahase milti hai
6/26/2024,03:46:59,+918425937857,Xerox
12/6/2024,07:34:42,+918425937813,Achha ye bhi thik hai
3/22/2024,13:51:04,+918425937861,File abhi nhi kharidna hota submission ka time par hi kharid kar submit krna hota hai
1/29/2024,10:13:28,+918425937866,Sirf vahi time par available hoti h vo
11/27/2024,06:41:21,+918425937841,Oho
10/28/2024,01:56:53,+918425937882,💀 seniors ko bhej
2/23/2024,08:26:27,+918425937890,The main reason is existance of sat 2 lectures <This message was edited>
6/15/2024,03:42:43,+918425937853,Follow this link to join my WhatsApp community
5/16/2024,14:25:50,+918425937899,"🎵 Calling all music enthusiasts, creative maestros, and artistic virtuosos! 🌟 Are you ready to unlock your musical potential? Join the vibrant Music Club - *Pause* and become part of an electrifying musical journey that will define y"
9/9/2024,03:47:24,+918425937812,This attendance list was passed before the roll list allotment
8/16/2024,01:04:50,+918425937836,Kaha pe betha hai? Bhai?
1/2/2024,03:26:16,+918425937868,No prob.
7/11/2024,15:40:53,+918425937820,Toh kaya karu aur koi option bhi toh nhi tha
3/6/2024,06:54:35,+918425937888,Hey Campus Fam! 📢
10/17/2024,20:19:04,+918425937874,There are 4 categories in colleges.
2/4/2024,16:12:24,+918425937861,postman community
12/6/2024,06:08:27,+918425937826,😂👍
7/10/2024,09:31:01,+918425937857,🥴 bhul gayi konsi group ki ho?
1/1/2024,02:05:48,+918425937822,do we have A Holiday tomorrow
2/27/2024,09:16:41,+918425937888,Yes
10/29/2024,05:51:58,+918425937821,"not tomorrow, today"
3/12/2024,23:31:03,+918425937810,ha bhai 30th ki bat kar raha hu
9/25/2024,12:40:17,+918425937852,*Important Announcement*
12/18/2024,22:51:10,+918425937831,😭.
1/4/2024,13:12:35,+918425937860,CORE Kevin.vcf (file attached)
6/29/2024,07:22:38,+918425937814,"For any queries, contact him"
10/18/2024,23:35:20,+918425937855,"Hello one and all,"
10/16/2024,14:36:08,+918425937827,//instagram.com/tanish__kamdar?utm_source=qr&igshid=MzNlNGNkZWQ4Mg%3D%3D
7/13/2024,20:55:29,+918425937814,//www.linkedin.com/in/tanish-kamdar
4/18/2024,15:33:46,+918425937850,"Hello one and all, 👋"
5/29/2024,16:17:31,+918425937870,//instagram.com/subroto_datta.05?utm_source=qr&igshid=MzNlNGNkZWQ4Mg%3D%3D
12/18/2024,10:49:54,+918425937822,//www.linkedin.com/in/subroto-datta-862632270
5/30/2024,12:55:22,+918425937869,Naiss
1/4/2024,07:10:15,+918425937854,Ye kp kon hai?
12/7/2024,19:42:12,+918425937819,Aur kirtikumar kon hai?
10/1/2024,20:21:38,+918425937868,Idk
5/22/2024,04:51:21,+918425937814,Mechanics sir hai
1/22/2024,15:44:24,+918425937888,Shayad
6/25/2024,01:42:24,+918425937872,Btw mai H Div se C me aagaya 🥴
4/18/2024,02:27:00,+918425937871,C div peeps?
8/16/2024,16:06:55,+918425937856,Wtf mere sath?
8/2/2024,23:20:36,+918425937816,Ohh
4/25/2024,00:44:18,+918425937818,Hello 😂
6/17/2024,17:05:20,+918425937827,9am se lecs right?
7/27/2024,13:01:42,+918425937875,Iss lec me neend nhi aati
6/6/2024,16:56:00,+918425937896,Wohi kp hai
9/15/2024,08:46:08,+918425937817,C3 batch me hai tu?
8/25/2024,04:42:18,+918425937811,C1
11/2/2024,06:57:24,+918425937879,Bc
1/21/2024,13:31:39,+918425937869,Soka
10/26/2024,21:44:44,+918425937829,Anyone here in f batch ai-ds
9/8/2024,10:50:58,+918425937867,💀 kya baat karr raha hai bhai
11/5/2024,02:41:12,+918425937889,Nai re
1/5/2024,11:11:26,+918425937855,me
9/17/2024,22:08:07,+918425937843,Hai ek buddhe sir
6/9/2024,01:39:05,+918425937839,Mechanics wala
12/24/2024,03:55:25,+918425937847,Thana jo
2/26/2024,14:52:51,+918425937861,Arre ache padhta hai
1/12/2024,18:29:58,+918425937817,Mechanics matlab em na?
10/25/2024,19:49:51,+918425937822,Ha
4/22/2024,17:53:12,+918425937899,Chalo kal naye log milenge sab
5/24/2024,20:06:21,+918425937861,Bhai 😂😂
8/11/2024,07:05:47,+918425937881,Fy me sabka lunch time same hai
7/22/2024,20:47:34,+918425937856,1.10 to 1.40
12/1/2024,15:56:04,+918425937857,?
2/27/2024,00:56:19,+918425937872,Broo too much bheed then
1/17/2024,16:18:25,+918425937860,Haa wahi
8/19/2024,15:50:02,+918425937857,Exactly
9/28/2024,05:49:11,+918425937851,Bhai bhooka hi rehna padega ab college mai 💀💀💀💀
2/8/2024,14:19:20,+918425937844,IT C mai hai kya tu bhi?
5/17/2024,22:13:57,+918425937871,Yeah
11/15/2024,22:42:51,+918425937828,IT c walo ka TT dekh kar mujhe toh jealousy ho rahi hai
2/15/2024,09:36:45,+918425937875,Same ✌️
4/23/2024,19:41:59,+918425937868,Bhai c1 ko library period nahi hai
11/10/2024,19:07:33,+918425937878,Sirf 1 baar hai hafte mai
6/24/2024,06:51:28,+918425937838,Aisa kya hai IT C ke TT Mai?
8/29/2024,19:30:17,+918425937869,Koi SS send kro IT Ka
2/11/2024,09:52:52,+918425937897,9 to 1.10 hai
10/9/2024,19:21:37,+918425937881,Ab lib period kya hai?
5/12/2024,17:10:32,+918425937845,un logo ka
12/10/2024,09:38:35,+918425937811,Timingss
6/27/2024,03:40:05,+918425937847,yessssssss
11/17/2024,20:27:29,+918425937847,Roll number ka list bhi send kr IT ka
1/18/2024,07:00:12,+918425937828,.
5/30/2024,07:48:30,+918425937854,Sabka hai isme excel se open kar
6/7/2024,11:07:58,+918425937816,Andha hai kya
1/9/2024,03:14:31,+918425937866,2 hai dekh
4/10/2024,22:53:03,+918425937851,Free lec samaj
2/27/2024,04:12:07,+918425937847,Terko Ghar bhi Jana rahega toh bhi terko Jane denge
10/8/2024,16:33:37,+918425937841,😂😂 proxy lagandena guys meri bus
3/14/2024,07:29:26,+918425937842,Mai yt se padh lunga unlog better sikhate hai
2/22/2024,05:55:12,+918425937851,💀💀💀
3/27/2024,07:46:01,+918425937898,Ye SAT ke lecs imp hai kya?
5/18/2024,03:55:35,+918425937845,Kaafi zyada
9/1/2024,05:31:25,+918425937851,Har ek attend Kiya kar
8/30/2024,22:09:51,+918425937826,And are they strict about its attendance?
1/2/2024,05:24:45,+918425937846,"Proxy lagwa de ,"
4/14/2024,03:24:36,+918425937886,Chill hai
10/22/2024,03:57:00,+918425937855,Alright
7/11/2024,08:00:16,+918425937849,But uske marks attendance based and class participation pe hote hai
4/10/2024,00:10:39,+918425937822,So like
10/3/2024,16:48:01,+918425937842,Maine ek bhi attend nhi kiya cause I think it's dumb
3/6/2024,05:22:24,+918425937880,Bhai I heard oral leti hai mam
8/12/2024,19:44:43,+918425937812,F division mein nhi leti
6/21/2024,20:48:42,+918425937817,E mein leti hogi ig
12/30/2024,12:46:28,+918425937894,Nhi lagti vo khud roll no bol ke leti hai
1/11/2024,11:08:24,+918425937860,C wala hu
1/19/2024,01:34:47,+918425937822,Muje kyu nai pata ye mam k bare mai
2/15/2024,15:25:31,+918425937816,Oral 💀 Hebrew Mai bola kya?
9/1/2024,09:53:33,+918425937837,Arre tu bhi?
6/4/2024,07:17:10,+918425937835,Meri class mein toh attendance sheet aaye thi
5/14/2024,08:53:01,+918425937891,Mere dost ne proxy lagai thi meri
10/7/2024,09:47:03,+918425937876,Why does sat even exist
9/3/2024,17:46:28,+918425937847,Meri frnd told oral li thi
2/17/2024,00:37:50,+918425937836,To bunk
8/26/2024,12:15:59,+918425937864,Usme location CR
1/4/2024,02:31:12,+918425937810,"Social affairs , who tf cares abt liberal stuff and manipur"
5/11/2024,05:17:05,+918425937819,Aur ig kuch toh topic tha how to stop people from bunking lectures 💀😂😂
12/10/2024,12:31:26,+918425937864,😂😂 mirzapur dekhlenge ise accha toh
4/9/2024,14:02:21,+918425937813,Better teachers☠️
7/25/2024,00:56:20,+918425937898,Yes she calls out people 💀
12/12/2024,04:40:35,+918425937870,"I meant better teaching , but okai ur correct too"
9/16/2024,22:04:03,+918425937830,😂😂 bhai kpld nahi hai ye
7/20/2024,16:46:12,+918425937851,Udhar ajao
3/6/2024,12:18:19,+918425937896,div A mein roll call leti hai
9/6/2024,14:30:15,+918425937832,Anyways class representative banaye hai?
9/6/2024,10:39:47,+918425937849,Nai
1/22/2024,01:19:31,+918425937881,kisko ban na hai?
6/9/2024,00:23:49,+918425937888,Nahi bhai tum karna sab lectures attend humse na ho payega
9/25/2024,19:44:32,+918425937891,Cr ko sab attend karna padta hai
9/25/2024,15:34:25,+918425937885,🫡
10/14/2024,03:17:49,+918425937812,mai irresponsible nahi ho sakta kya?
1/28/2024,03:48:50,+918425937891,Nahi bhai ur a machine for teachers 😂😂
4/3/2024,20:54:02,+918425937862,"Are basically scene kya hai na , teacher knows the cr"
9/26/2024,03:42:48,+918425937887,So proxy nhi lagwa sakta tu apni
11/12/2024,05:57:01,+918425937849,Wahi
12/21/2024,22:57:13,+918425937858,🥲 kya life hogi uski
1/7/2024,15:03:43,+918425937866,matlab life hi nahi hogi
5/2/2024,04:12:16,+918425937895,Cr lekin blessing hote hai
10/26/2024,14:49:33,+918425937867,Proxy lagwa dete hai
2/17/2024,04:44:02,+918425937881,Haa bhai woh kal wale reel ke sir ke sath tereko sath nibhana padega pure 4 saal
9/9/2024,16:36:52,+918425937830,proxy chodh lekin khud bina proxy k absent raha toh
9/3/2024,09:16:50,+918425937878,Toh kn
7/5/2024,15:52:06,+918425937844,Bhai tu apna score bhi badha sakta hai
9/25/2024,08:05:34,+918425937828,Pointer
9/19/2024,12:05:19,+918425937871,Khudke behavior mai daalde best student in the class
3/25/2024,03:56:00,+918425937864,10/10 pointer bc 😂😂😂
12/14/2024,17:26:41,+918425937836,😁
